2025-07-24 00:36:57.656 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-07-24 03:48:27.415 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 03:48:27.434 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 03:48:27.434 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 03:48:27.459 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:48:39.978 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:49:03.182 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:50:48.883 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:50:49.851 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:50:58.929 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:51:01.285 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:51:01.476 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:51:11.165 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:09:08.597 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 04:09:08.597 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 04:09:14.767 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 04:09:14.767 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 04:25:34.067 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:25:34.079 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:25:34.811 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-07-24 04:25:34.811 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:25:35.359 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:25:35.359 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.feature.2d], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.multiplayer.center], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.timeline], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.visualscripting], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.accessibility], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.ai], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.androidjni], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.animation], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.assetbundle], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.audio], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.cloth], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.director], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.imageconversion], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.imgui], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.120 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.screencapture], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.terrainphysics], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.tilemap], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.umbra], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unityanalytics], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequest], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestassetbundle], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestaudio], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequesttexture], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestwww], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.vehicles], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.video], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.vr], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.wind], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.xr], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.merry-yellow.code-assist], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.subsystems], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.modules.hierarchycore], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.core], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.shadergraph], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal-config], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.2d.animation], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.2d.pixel-perfect], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.2d.psdimporter], Result: [granted: True, group: (null)]
2025-07-24 04:25:47.121 User Agent: [UnityEditor/6000.0.41f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [053fe0d53bb34c0cbd9719e1de87a56c], Licensed Package: False, Entitlement requested: [com.unity.2d.sprite], Result: [granted: True, group: (null)]
